aggregationmethod,date,version,airportname,percentofbaseline,centroid,city,state,iso_3166_2,country,geography
Daily,2020-03-31,1,Hamilton International,88,POINT (-79.9266930702 43.1720360845),Hamilton,Ontario,CA-ON,Canada,"POLYGON ((-79.9327468872 43.1551600162, -79.930075407 43.1572262381, -79.9287450314 43.1583062808, -79.9281549454 43.1593628258, -79.9145078659 43.1562009625, -79.9099159241 43.1645591963, -79.9088859558 43.1664685949, -79.9078559875 43.1696612264, -79.9032211304 43.1795510647, -79.9378967285 43.1878122333, -79.9412441254 43.1803960083, -79.9492263794 43.1775794843, -79.9465870857 43.1707253998, -79.9451708794 43.1710227391, -79.9484109879 43.163933151, -79.9284553528 43.1594802186, -79.9289703369 43.1584471545, -79.9295818806 43.1579149631, -79.9322104454 43.1560444303, -79.9336481094 43.1556061382, -79.9350428581 43.1556922315, -79.9327468872 43.1551600162))"
Daily,2020-03-31,1,Hartsfield-Jackson Atlanta International,66,POINT (-84.4279188823 33.6410758199),College Park,Georgia,US-GA,United States of America (the),"POLYGON ((-84.429974556 33.657852681, -84.431540966 33.6580134258, -84.4327533245 33.6577008662, -84.4349956512 33.6558254845, -84.438085556 33.6526640343, -84.439920187 33.6513690564, -84.4419693947 33.6503509223, -84.445091486 33.6488415608, -84.447183609 33.6474393493, -84.4487071037 33.6459477998, -84.4530951977 33.6414819284, -84.4557237625 33.6382931544, -84.4565606117 33.6362744297, -84.4565284252 33.6345415044, -84.4561100006 33.6327281484, -84.4554448128 33.6313971386, -84.4546186924 33.6309951517, -84.4520223141 33.6308209568, -84.4516628981 33.6305306312, -84.4516682625 33.6297891799, -84.4504880905 33.6297891799, -84.4463038445 33.6290209223, -84.4413256645 33.6286993241, -84.4402313232 33.6274307861, -84.4353175163 33.6249293889, -84.4311547279 33.6244827032, -84.4308114052 33.624982991, -84.4233226776 33.6250544605, -84.418258667 33.6279310569, -84.4147396088 33.6307539587, -84.4112849236 33.6330050673, -84.4100189209 33.6335410369, -84.4053196907 33.6338268859, -84.4034957886 33.6349345421, -84.4027018547 33.6362208346, -84.402551651 33.637650026, -84.4031095505 33.6402046465, -84.4029808044 33.6409013481, -84.4007062912 33.6406512507, -84.4005131721 33.6410263965, -84.4028949738 33.6412764927, -84.4006204605 33.6462961281, -84.4008564949 33.6472428592, -84.4021010399 33.647975229, -84.403924942 33.6481002671, -84.4046115875 33.6487790423, -84.4060063362 33.6509760938, -84.4142889977 33.6560487464, -84.4184947014 33.6579955653, -84.4230437279 33.6581384494, -84.426176548 33.6577990993, -84.429974556 33.657852681))"
Daily,2020-03-31,1,John F. Kennedy International,47,POINT (-73.7784465296 40.646026594),New York,New York,US-NY,United States of America (the),"POLYGON ((-73.7883961201 40.6226989509, -73.7849414349 40.6211109825, -73.7792873383 40.6281710449, -73.777667284 40.6283583259, -73.7764441967 40.6286270325, -73.7742877007 40.6278860511, -73.7733328342 40.6252477647, -73.770339489 40.6237982915, -73.7688374519 40.624783611, -73.7665522099 40.6284316096, -73.7653720379 40.6294575733, -73.7487316132 40.6358409934, -73.7480449677 40.6408561096, -73.7500888109 40.6419347988, -73.7500083447 40.6422848603, -73.7500941753 40.643017541, -73.750576973 40.6436810173, -73.7500941753 40.6441653914, -73.7533020973 40.645870849, -73.7534308434 40.6464081202, -73.7552118301 40.6474989302, -73.7553834915 40.6492246528, -73.7567567825 40.6499898174, -73.774394989 40.6596431621, -73.7791371346 40.6614987883, -73.7836003304 40.6628823357, -73.7856817245 40.6634357466, -73.7902522087 40.6641356421, -73.7962174416 40.6649331885, -73.8020968437 40.6651936097, -73.8024616241 40.6635659603, -73.8027620316 40.6627358438, -73.8038563728 40.6620033795, -73.8046073914 40.6617103916, -73.8057661057 40.6611569663, -73.8064742088 40.6600501021, -73.8074612617 40.6581293235, -73.8076543808 40.6572014699, -73.8077831268 40.6558015261, -73.8076972961 40.6547108519, -73.8066673279 40.6522852587, -73.8029766083 40.6473686851, -73.800444603 40.6454801036, -73.7970972061 40.6443729793, -73.7943613529 40.6444788082, -73.7946295738 40.6409863673, -73.7801885605 40.6345057366, -73.7792658806 40.634066073, -73.7883961201 40.6226989509))"
Daily,2020-03-31,1,LaGuardia,62,POINT (-73.8732455279 40.7738834967),New York,New York,US-NY,United States of America (the),"POLYGON ((-73.8876271248 40.767277586, -73.8868251443 40.7674949476, -73.8850897551 40.7678382555, -73.8827562332 40.7687605058, -73.8786309958 40.7710620129, -73.8773837686 40.7717607778, -73.8769572973 40.7719090613, -73.8758790493 40.7721650018, -73.8742563128 40.7722543776, -73.8717135787 40.7720187502, -73.8698145747 40.7715596805, -73.8675615191 40.7703733974, -73.8654774427 40.7689880193, -73.8634979725 40.7670541295, -73.859539032 40.7670866323, -73.8550651073 40.7721243764, -73.8725745678 40.7806064243, -73.884601593 40.7799483731, -73.8849878311 40.7792171975, -73.8842904568 40.7754718273, -73.8847517967 40.7752605854, -73.8842904568 40.774119055, -73.8893169165 40.7735340638, -73.8885551691 40.7690367721, -73.8881796598 40.7688620744, -73.8880723715 40.7685492425, -73.8876271248 40.767277586))"
Daily,2020-03-31,1,Los Angeles International,70,POINT (-118.404993181 33.9413693793),Los Angeles,California,US-CA,United States of America (the),"POLYGON ((-118.439612389 33.9517616367, -118.43665123 33.9472048907, -118.436479568 33.9440007827, -118.435664177 33.9420426573, -118.43609333 33.9408677604, -118.435621262 33.940333711, -118.434548378 33.940333711, -118.429269791 33.9306134268, -118.425278664 33.9312543588, -118.394937515 33.9308982861, -118.380346298 33.9307202491, -118.378157616 33.9301505284, -118.374284506 33.9296698236, -118.369842768 33.9296431177, -118.369896412 33.9456028518, -118.379895687 33.9457096553, -118.395924568 33.9457808576, -118.395967484 33.9546806738, -118.400816917 33.9552502303, -118.406481743 33.9547518686, -118.421373367 33.9531499717, -118.428218365 33.952704995, -118.432638645 33.9522066183, -118.43637228 33.9523134135, -118.437917233 33.9523490119, -118.439612389 33.9517616367))"
Daily,2020-03-31,1,McCarran International,45,POINT (-115.148880813 36.0828539763),Paradise,Nevada,US-NV,United States of America (the),"POLYGON ((-115.158487558 36.1007120736, -115.163519382 36.100608049, -115.163766146 36.0973745484, -115.16372323 36.0946697487, -115.16566515 36.0947564424, -115.166373253 36.0953459573, -115.168390274 36.0953112801, -115.168358088 36.0872570801, -115.172606707 36.0787945126, -115.172241926 36.0724730048, -115.169731379 36.0714583945, -115.155955553 36.0717705837, -115.154807568 36.0714844103, -115.148541927 36.0716318331, -115.147994757 36.0721261309, -115.146535635 36.072056756, -115.146353245 36.0716838646, -115.145698786 36.0717098803, -115.145097971 36.0721694903, -115.141385794 36.0721434747, -115.139776468 36.0718399589, -115.132180452 36.0719266778, -115.124069452 36.0717879275, -115.118865967 36.0717879275, -115.118898153 36.0788031838, -115.123382807 36.0789072372, -115.123425722 36.0830605928, -115.124176741 36.0843091579, -115.124337673 36.084820717, -115.124359131 36.0861993089, -115.126032829 36.0863206932, -115.127148628 36.0867715475, -115.129702091 36.0885575988, -115.130839348 36.0887656798, -115.145773888 36.08882637, -115.149507523 36.1007987607, -115.158487558 36.1007120736))"
Daily,2020-03-31,1,Miami International,68,POINT (-80.288714746 25.7957243108),Miami Springs,Florida,US-FL,United States of America (the),"POLYGON ((-80.3053593636 25.8070775439, -80.3053164482 25.8030400986, -80.305724144 25.8019969085, -80.3067111969 25.8008957535, -80.3068399429 25.7971865244, -80.3081274033 25.797244482, -80.3080844879 25.7893233478, -80.3132343292 25.7892267454, -80.3143501282 25.7901927665, -80.3177189827 25.788956258, -80.3191566467 25.787912944, -80.3197360039 25.7863093139, -80.3195858002 25.7849568378, -80.3181910515 25.7825030205, -80.3118181229 25.7825223421, -80.3069257736 25.7842419514, -80.3026556969 25.7847443045, -80.2905106544 25.785188692, -80.2812409401 25.7857683253, -80.2794384956 25.7857876464, -80.2743530273 25.784879553, -80.2730870247 25.7853432611, -80.2703404427 25.7885408656, -80.2646970749 25.7937573162, -80.2647185326 25.8026923696, -80.2646970749 25.8080047847, -80.2895879745 25.8073673074, -80.2983427048 25.8073286724, -80.3006601334 25.8070775439, -80.3053593636 25.8070775439))"
Daily,2020-03-31,1,Montreal Mirabel,55,POINT (-74.0483797793 45.6815027038),Mirabel,Quebec,CA-QC,Canada,"POLYGON ((-74.0895652771 45.685631473, -74.0925693512 45.6754222038, -74.0891361237 45.6729333184, -74.079887867 45.6751823161, -74.0439033508 45.6727234073, -74.0360498428 45.6733681316, -74.0291619301 45.6754521897, -74.004034996 45.6915822726, -74.0086698532 45.6961536155, -74.0120172501 45.6984916006, -74.0311360359 45.6855565219, -74.0350842476 45.6839375528, -74.0368008614 45.684582148, -74.0379166603 45.6837426738, -74.0377020836 45.6830530963, -74.0409421921 45.6822285903, -74.0486454964 45.6822885548, -74.0895652771 45.685631473))"
Daily,2020-03-31,1,Montreal Trudeau,68,POINT (-73.7424121585 45.467843694),Dorval,Quebec,CA-QC,Canada,"POLYGON ((-73.7517571449 45.4495491245, -73.7463283539 45.4501512553, -73.7434744835 45.4499706167, -73.7427663803 45.4494738577, -73.7421011925 45.4492631101, -73.7410497665 45.4493534305, -73.7377023697 45.4516866599, -73.7289047241 45.4579332181, -73.7211799622 45.4632309613, -73.7069320679 45.4736744854, -73.7077045441 45.4740356102, -73.7098073959 45.4755854108, -73.7096571922 45.4757358746, -73.7091422081 45.4763076334, -73.710258007 45.4771803068, -73.7118244171 45.4771351688, -73.7125968933 45.4774661796, -73.7104511261 45.4790760678, -73.719162941 45.4850337587, -73.7196564674 45.485289504, -73.7233901024 45.4823709292, -73.7300419807 45.4863726479, -73.7307929993 45.4876964622, -73.7327885628 45.4876362895, -73.7356209755 45.4885539162, -73.7366294861 45.4884335726, -73.7385392189 45.4870947323, -73.7411355972 45.4857859476, -73.7484312057 45.4800540148, -73.7638807297 45.4678359813, -73.7743520737 45.4661505275, -73.774394989 45.4675350111, -73.7752532959 45.4695514809, -73.7758111954 45.4695815769, -73.7805318832 45.4672189907, -73.7853384018 45.4649014532, -73.7822699547 45.4616356706, -73.7820124626 45.4603940215, -73.7806069851 45.4567215904, -73.7735795975 45.4599801324, -73.7729036808 45.4584750556, -73.7713479996 45.4574440548, -73.7700283527 45.4572559139, -73.7662518024 45.4579106414, -73.7645459175 45.4587083451, -73.7636554241 45.4558711778, -73.7600827217 45.4562098392, -73.7593102455 45.453613383, -73.7605333328 45.4524693991, -73.7597608566 45.4496695511, -73.7517571449 45.4495491245))"
Daily,2020-03-31,1,Newark Liberty International,63,POINT (-74.175124669 40.6915033838),Newark,New Jersey,US-NJ,United States of America (the),"POLYGON ((-74.1924333572 40.6810611095, -74.1918754578 40.6787666585, -74.1912746429 40.677350894, -74.1890215874 40.6748773023, -74.1871547699 40.6739008592, -74.1856098175 40.6729569507, -74.1784858704 40.6701902452, -74.171833992 40.677399714, -74.1650748253 40.6872443432, -74.1618776321 40.691800043, -74.1584658623 40.6967133416, -74.1531229019 40.7054652738, -74.1577577591 40.7078401351, -74.1699028015 40.7081491861, -74.1755032539 40.7080841229, -74.1779065132 40.7076286782, -74.1830992699 40.7043428784, -74.1838717461 40.7030740608, -74.1845798492 40.7003411407, -74.1855669022 40.6954769165, -74.1874337196 40.6928575717, -74.190223217 40.6914746462, -74.1912102699 40.6903357449, -74.1923475266 40.685666046, -74.1924333572 40.6810611095))"
